Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_245	2.886	0.562	0.268	0.061	2.662	0.241	245	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	6306.66910529935
Simulation_246	2.383	0.117	0.205	0.097	2.034	0.92	246	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5658.58091785837
Simulation_247	1.377	0.413	0.08	0.025	0.779	0.468	247	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	8038.42160953079
Simulation_248	1.251	0.228	0.221	0.07	0.936	0.524	248	0.05	12000	1000	1	500	111	1	0	1	13	13	0	0	-1	-1	-1	7660.96475862483
Simulation_249	2.257	0.525	0.096	0.143	2.191	0.977	249	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	6142.10225292981
Simulation_250	2.76	0.08	0.158	0.034	2.819	0.298	250	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5220.22443240874
Simulation_251	1.754	0.376	0.284	0.106	1.564	0.751	251	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6084.31120074718
Simulation_252	1.503	0.154	0.064	0.052	2.505	0.638	252	0.05	12000	1000	1	500	111	1	0	1	82	90	8	1	0.893232205367561	1531	25	4478.72435586031
Simulation_253	2.509	0.45	0.19	0.125	1.25	0.185	253	0.05	12000	1000	1	500	111	1	0	1	181	181	0	0	-1	-1	-1	7436.12143709874
Simulation_254	2.006	0.302	0.252	0.016	0.623	0.864	254	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	4123.99770419699
Simulation_255	1	0.599	0.127	0.088	1.877	0.411	255	0.05	12000	1000	1	500	111	0	122	1	3137	3137	0	1	1	1714	3008	3113.8588736223
Simulation_256	1.004	0.303	0.214	0.046	2.588	0.979	256	0.05	12000	1000	1	500	111	1	0	1	1	5	4	0	-1	-1	-1	8964.8918102194
Simulation_257	2.01	0.6	0.088	0.119	1.333	0.526	257	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	4739.04776808766
Simulation_258	2.513	0.155	0.151	0.01	0.706	0.752	258	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7211.08239574778
Simulation_259	1.507	0.452	0.276	0.082	1.961	0.3	259	0.05	12000	1000	1	500	111	1	0	1	10	10	0	0	-1	-1	-1	7331.24212546429
Simulation_260	1.758	0.081	0.057	0.064	1.02	0.187	260	0.05	12000	1000	1	500	111	1	0	1	543	551	8	0	-1	-1	-1	7742.92966735919
Simulation_261	2.764	0.377	0.182	0.137	2.275	0.639	261	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5815.96728278051
Simulation_262	2.261	0.229	0.245	0.028	2.902	0.413	262	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5400.59266823569
Simulation_263	1.255	0.526	0.12	0.101	1.647	0.866	263	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	2131.88792348267
Simulation_264	1.381	0.118	0.292	0.146	1.176	0.809	264	0.05	12000	1000	1	500	111	1	0	1	3	4	1	0	-1	-1	-1	5430.17439650655
Simulation_265	2.387	0.415	0.167	0.073	2.431	0.356	265	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	8747.31736950801
