Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_132	1.77	0.028	0.152	0.124	1.975	0.588	132	0.05	12000	1000	1	500	111	1	0	1	254	254	0	0	-1	-1	4921.60635590046	4
Simulation_133	2.776	0.074	0.278	0.051	0.721	0.135	133	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4738.2537017771	1
Simulation_134	2.273	0.051	0.215	0.087	1.348	0.814	134	0.05	12000	1000	1	500	111	1	0	1	23	23	0	0	-1	-1	4750.70338788912	3
Simulation_135	1.267	0.096	0.09	0.014	2.603	0.362	135	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.948074679113186	1	5488.39403049539	4
Simulation_136	1.393	0.011	0.2	0.042	2.76	0.418	136	0.05	12000	1000	1	500	111	1	0	1	13	13	0	0	-1	-1	4221.30387551302	4
Simulation_137	2.399	0.057	0.074	0.114	1.505	0.871	137	0.05	12000	1000	1	500	111	1	0	1	28	28	0	0	-1	-1	2176.94029133655	1
Simulation_138	2.902	0.034	0.137	0.005	0.877	0.192	138	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	2743.48215804232	1
Simulation_139	1.896	0.079	0.262	0.078	2.132	0.645	139	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	3730.30261984419	4
Simulation_140	1.644	0.045	0.105	0.06	0.564	0.758	140	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4899.66621465405	4
Simulation_141	2.65	0.091	0.231	0.133	1.819	0.305	141	0.05	12000	1000	1	500	111	1	0	1	83	83	0	1	0.988914819136523	26	3062.8825878134	2
Simulation_142	2.147	0.023	0.294	0.023	2.446	0.984	142	0.05	12000	1000	1	500	111	1	0	1	8	8	0	0	-1	-1	5831.54040527573	4
Simulation_143	1.141	0.068	0.168	0.096	1.191	0.531	143	0.05	12000	1000	1	500	111	1	0	1	66	66	0	0	-1	-1	3325.21412482363	2
Simulation_144	1.204	0.026	0.066	0.092	1.113	0.277	144	0.05	12000	1000	1	500	111	1	0	1	7	7	0	0	-1	-1	4461.20599062097	4
Simulation_145	2.21	0.071	0.192	0.019	2.368	0.729	145	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.845974329054842	1	5146.60147710975	4
Simulation_146	2.713	0.048	0.254	0.128	2.995	0.503	146	0.05	12000	1000	1	500	111	1	0	1	14	14	0	1	0.780630105017503	2	3355.37910950514	3
Simulation_147	1.707	0.093	0.129	0.055	1.74	0.956	147	0.05	12000	1000	1	500	111	1	0	1	6	6	0	1	0.987747957992999	3	1757.67242040909	1
Simulation_148	1.959	0.037	0.223	0.11	2.681	0.843	148	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	7928.54215853685	4
Simulation_149	2.965	0.082	0.098	0.037	1.426	0.39	149	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	1789.40938093722	1
Simulation_150	2.462	0.014	0.16	0.146	0.799	0.616	150	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	6153.55734404844	4
Simulation_151	1.456	0.06	0.286	0.074	2.054	0.164	151	0.05	12000	1000	1	500	111	1	0	1	21	21	0	1	0.939906651108518	6	1815.54149338379	1
Simulation_152	1.33	0.054	0.113	0.028	2.211	0.107	152	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.832555425904317	1	6755.45712923149	4
Simulation_153	2.336	0.099	0.239	0.101	0.956	0.56	153	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	5957.32654953171	4
Simulation_154	2.839	0.031	0.176	0.064	1.583	0.333	154	0.05	12000	1000	1	500	111	1	0	1	10	10	0	0	-1	-1	5273.51911480716	4
Simulation_155	1.833	0.076	0.05	0.137	2.838	0.786	155	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	3450.45366013185	3
Simulation_156	1.582	0.02	0.27	0.01	1.27	0.899	156	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	6024.69555831364	4
Simulation_157	2.587	0.065	0.145	0.083	2.525	0.447	157	0.05	12000	1000	1	500	111	1	0	1	18	18	0	1	0.960910151691949	7	6181.66858616111	4
Simulation_158	2.084	0.043	0.082	0.046	1.897	0.673	158	0.05	12000	1000	1	500	111	1	0	1	294	294	0	1	0.915402567094516	42	4534.26747022865	3
Simulation_159	1.079	0.088	0.207	0.119	0.642	0.22	159	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	6715.46636153806	4
Simulation_160	1.11	0.016	0.133	0.062	2.407	0.828	160	0.05	12000	1000	1	500	111	1	0	1	79	79	0	0	-1	-1	5398.22913750645	4
Simulation_161	2.116	0.061	0.258	0.135	1.152	0.376	161	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	7179.42901107979	4
Simulation_162	2.619	0.038	0.196	0.026	0.525	0.602	162	0.05	12000	1000	1	500	111	1	0	1	33	33	0	0	-1	-1	3475.82205095201	2
Simulation_163	1.613	0.084	0.07	0.099	1.779	0.15	163	0.05	12000	1000	1	500	111	1	0	1	1245	1245	0	1	0.00058343057176196	40	5489.05086274404	3
Simulation_164	1.864	0.05	0.29	0.044	0.838	0.263	164	0.05	12000	1000	1	500	111	1	0	1	129	129	0	1	0.81855309218203	15	5022.2791977982	3
