Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_134	2.273	0.051	0.215	0.087	1.348	0.814	134	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4842.25363161903	4
Simulation_135	1.267	0.096	0.09	0.014	2.603	0.362	135	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5807.74273332267	4
Simulation_136	1.393	0.011	0.2	0.042	2.76	0.418	136	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6612.61632320115	4
Simulation_137	2.399	0.057	0.074	0.114	1.505	0.871	137	0.05	12000	1000	1	500	111	1	0	1	9	9	0	1	0.620186697782964	9	3628.7631689924	2
Simulation_138	2.902	0.034	0.137	0.005	0.877	0.192	138	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5784.29877165774	4
Simulation_139	1.896	0.079	0.262	0.078	2.132	0.645	139	0.05	12000	1000	1	500	111	1	0	1	13	13	0	1	0.371061843640607	12	3099.03240357897	3
Simulation_140	1.644	0.045	0.105	0.06	0.564	0.758	140	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6902.27436359098	4
Simulation_141	2.65	0.091	0.231	0.133	1.819	0.305	141	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5618.18897241757	2
Simulation_142	2.147	0.023	0.294	0.023	2.446	0.984	142	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5413.49327467193	4
Simulation_143	1.141	0.068	0.168	0.096	1.191	0.531	143	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6176.02943616597	4
Simulation_144	1.204	0.026	0.066	0.092	1.113	0.277	144	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5063.32173406938	2
Simulation_145	2.21	0.071	0.192	0.019	2.368	0.729	145	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6331.10267278118	4
Simulation_146	2.713	0.048	0.254	0.128	2.995	0.503	146	0.05	12000	1000	1	500	111	1	0	1	22	23	1	0	-1	-1	7869.70678231256	5
Simulation_147	1.707	0.093	0.129	0.055	1.74	0.956	147	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	8812.08833551255	4
Simulation_148	1.959	0.037	0.223	0.11	2.681	0.843	148	0.05	12000	1000	1	500	111	1	0	1	707	719	12	1	0.153442240373396	571	2695.53407604859	2
Simulation_149	2.965	0.082	0.098	0.037	1.426	0.39	149	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	7887.90225695683	4
Simulation_150	2.462	0.014	0.16	0.146	0.799	0.616	150	0.05	12000	1000	1	500	111	1	0	1	8	10	2	0	-1	-1	4662.38682546934	3
Simulation_151	1.456	0.06	0.286	0.074	2.054	0.164	151	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6653.93567649573	4
Simulation_152	1.33	0.054	0.113	0.028	2.211	0.107	152	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5566.33120380901	4
Simulation_153	2.336	0.099	0.239	0.101	0.956	0.56	153	0.05	12000	1000	1	500	111	1	0	1	4	4	0	0	-1	-1	4418.27494481809	2
Simulation_154	2.839	0.031	0.176	0.064	1.583	0.333	154	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1	1524.95478957718	1
Simulation_155	1.833	0.076	0.05	0.137	2.838	0.786	155	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6715.46636153806	4
Simulation_156	1.582	0.02	0.27	0.01	1.27	0.899	156	0.05	12000	1000	1	500	111	1	0	1	180	181	1	0	-1	-1	3762.13311525327	3
Simulation_157	2.587	0.065	0.145	0.083	2.525	0.447	157	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6257.63227088988	4
Simulation_158	2.084	0.043	0.082	0.046	1.897	0.673	158	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4879.46820733278	4
Simulation_159	1.079	0.088	0.207	0.119	0.642	0.22	159	0.05	12000	1000	1	500	111	0	129	1	1486	1505	19	1	0.901400233372229	1479	4027.90217514412	2
Simulation_160	1.11	0.016	0.133	0.062	2.407	0.828	160	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4154.99637525818	3
