Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance
Simulation_193	2.039	0.073	0.225	0.113	2.386	0.286	193	0.05	12000	1000	1	500	111
Simulation_194	2.539	0.05	0.161	0.077	1.76	0.962	194	0.05	12000	1000	1	500	111
Simulation_195	1.538	0.095	0.286	0.15	0.507	0.511	195	0.05	12000	1000	1	500	111
Simulation_196	1.788	0.039	0.131	0.022	2.073	0.398	196	0.05	12000	1000	1	500	111
Simulation_197	2.79	0.084	0.256	0.095	0.82	0.849	197	0.05	12000	1000	1	500	111
Simulation_198	2.289	0.017	0.069	0.059	1.447	0.173	198	0.05	12000	1000	1	500	111
Simulation_199	1.288	0.062	0.194	0.131	2.699	0.624	199	0.05	12000	1000	1	500	111
Simulation_200	1.413	0.045	0.147	0.086	2.543	0.567	200	0.05	12000	1000	1	500	111
Simulation_201	2.414	0.09	0.272	0.013	1.29	0.117	201	0.05	12000	1000	1	500	111
Simulation_202	2.915	0.022	0.083	0.122	0.664	0.793	202	0.05	12000	1000	1	500	111
